STATION,STNAME,SHORTNAME,GAUGE,DATUM,CATCHAREA,ZONE,EASTING,NORTHING,GRDATUM,LATITUDE,LONGITUDE,LLDATUM,POSACC,ELEV,ELEVACC,FIELD,LAB,ACTIVE,COMMENCED,CEASED,REGION
227245,LITTLE BASS RIVER @ POOWONG U/S LITTLE BASS RES.,LT. BASS RV POOWONG,0,ARB,0,55,395053.79999999999,5753559.5,UTM,-38.359855600000003,145.79880788,WGS84,9,0,1,Y,N,1,1999-05-18,,227
227246,COALITION CREEK,KORUMBURRA GOLF COUR,0,,0,55,396827,5748087.4000000004,UTM,-38.409367000000003,145.818297,WGS84,1,0,1,N,N,1,2004-06-08,,227
227248,BELLVIEW CREEK U/S BELLVIEW RESERVOIR,BELLVIEW CK,0,,0,55,396367,5749105,AMG84,-38.400145190000003,145.8131798,,1,15,1,Y,Y,1,1999-05-18,,227
227249,RUBY CREEK @ ARAWATA,RUBY CREEK ARAWATA,0,ARB,0,55,402379,5748848,AMG84,-38.403137770000001,145.8819819,GDA94,1,0,1,Y,N,1,1999-05-18,,227
227251,TARRA RIVER @ TARRA WEIR OFFTAKE,TARRA R @ WEIR O/T,0,,0,55,463301,5741305,UTM,-38.475693630000002,146.57927340000001,WGS84,9,138,9,Y,Y,1,2004-10-27,,227
227253,TARWIN R D/S FISH CK DRAIN,TARWIN RV D/S FISH C,0,,0,55,402377.5,5716499.9000000004,UTM,-38.694603999999998,145.877442,WGS84,9,4,9,N,Y,1,2001-11-08,,227
227254,POWLETT R D/S WONTHAGGI,POWLETT RV WONTHAGGI,0,,0,55,374664.09999999998,5730305.9000000004,UTM,-38.566732000000002,145.56133800000001,WGS84,9,5,9,N,Y,1,2004-01-15,,227
227258,ALBERT RIVER @ GELLIONDALE,ALBERT RV GELLIONDA,0,,0,55,462717,5730240,UTM,-38.57538504,146.57198821,WGS84,9,0,1,N,Y,1,2006-05-30,,227
227262,TARRA RIVER @ TARRAVILLE (BREWERY CK ROAD),TARRA R @ TARRAVILLE,0,,0,55,474170,5726447,UTM,-38.609973859999997,146.70332690000001,WGS84,9,0,1,N,Y,1,2006-07-17,,227
227264,COALITION CREEK @ LEONGATHA (SPENCERS ROAD BRIDGE),COALITION @ SPENCERS,0,ARB,0,55,409001,5743754,UTM,-38.44973718,145.95714934,WGS84,9,163,9,Y,N,1,2006-11-28,,227
227266,TARWIN RIVER @ KOONWARRA,TARWIN R KOONWARRA,0,,0,55,408996,5735402,UTM,-38.524993360000003,145.95600671,WGS84,1,0,1,Y,N,1,2008-09-22,,227
227270,FOSTER CREEK @ KORUMBURRA,FOSTER CK KORUMBURRA,,,,55,394617.59999999998,5745540,MGA94,-38.432195440000001,145.79260830000001,GDA94,,0,,N,N,1,2011-10-13,,227
227271,STONY CREEK @ MEENIYAN,STONY CK @ MEENYAN,,,,55,416259.696,5726805.7560000001,MGA94,-38.603299,146.038287,GDA94,,0,,N,N,1,2017-04-13,,227
227272,MERRIMAN CREEK @ SEASPRAY PUMP STATION,MERRIMAN CK PUMP STN,,,,55,514431.90000000002,5754732.4000000004,MGA94,-38.355455560000003,147.16517777999999,GDA94,,0,,y,Y,1,2013-09-25,,227
227273,POWLETT RIVER AT MOUTH OF POWLETT ROAD,POWLETT RV AT MOUTH,,,,55,370252.5,5729481.5999999996,MGA94,-38.573658610000003,145.5105533,GDA94,,0,,N,N,1,2016-11-03,,227
228272,KANANOOK CREEK AT WELLS STREET FRANKSTON,DAKAN0098,,,,55,335272,5776544,MGA94,-38.143900000000002,145.12,GDA94,,0,,N,N,1,1994-01-01,,228
228273,MONBULK CREEK OFF KAROO ROAD,DAMON0031,,,,55,346796.5,5803426.7000000002,MGA94,-37.903799999999997,145.25700000000001,GDA94,,0,,N,N,1,2007-01-01,,228
228274,PATTERSON RIVER AT NATIONAL WATER SPORTS CNTR BANGHOLME,DAPAT0573,,,,55,337362,5786174,MGA94,-38.057600000000001,145.14599999999999,GDA94,,0,,N,N,1,1994-01-01,,228
228275,KACKERABOITE CREEK UPSTREAM OLD MORNINGTON ROAD,WPKAC0007,,,,55,333590,5773971.5,MGA94,-38.166800000000002,145.09999999999999,GDA94,,0,,N,N,1,2007-01-01,,228
228276,KING PARROT CREEK UPSTREAM KOO WEE RUP LONGWARRY ROAD,WPKIN0070,,,,55,387635.29999999999,5773997.2999999998,MGA94,-38.174900000000001,145.71700000000001,GDA94,,0,,N,N,1,2007-01-01,,228
228277,LABERTOUCHE CREEK OFF LABERTOUCHE JACKSONS TRACK,WPLAB0036,,,,55,394464.20000000001,5785646.5,MGA94,-38.070799999999998,145.797,GDA94,,0,,N,N,1,2007-01-01,,228
228278,LOWER GUM SCRUB CREEK AT WENN ROAD,WPLGS0036,,,,55,363956,5776610,MGA94,-38.148099999999999,145.447,GDA94,,0,,N,N,1,2007-01-01,,228
228279,MINNIEBURN CREEK AT SOUTH ROAD,WPMIN0035,,,,55,398058.20000000001,5767540.2000000002,MGA94,-38.234400000000001,145.83500000000001,GDA94,,0,,N,N,1,2007-01-01,,228
228280,MUSK CREEK UPSTREAM KOO WEE RUP LONGWARRY ROAD,WPMUS0051,,,,55,387043.20000000001,5772575.0999999996,MGA94,-38.1877,145.71000000000001,GDA94,,0,,N,N,1,2007-01-01,,228
228281,OLIVERS CREEK AT BAYVIEW ROAD,WPOLI0014,,,,55,342224.09999999998,5760635.5,MGA94,-38.288499999999999,145.196,GDA94,,0,,N,N,1,2007-01-01,,228
228282,SWEETWATER CREEK AT GRANGE ROAD,WPSWE0007,,,,55,334463.29999999999,5774761.9000000004,MGA94,-38.1599,145.11099999999999,GDA94,,0,,N,N,1,2007-01-01,,228
228283,WYLIES DRAIN AT BAXTER-TOORADIN ROAD,WPWYL0023,,,,55,354501.29999999999,5771170.5,MGA94,-38.195700000000002,145.33799999999999,GDA94,,0,,N,N,1,2007-01-01,,228
228284,MCDONALDS DRAIN AT BALLARTO ROAD,WPMCD0115,,,,55,368873.09999999998,5775787.5,MGA94,-38.156300000000002,145.50299999999999,GDA94,,0,,N,N,1,2007-01-01,,228
228285,ARARAT CREEK AT NAR NAR GOO LONGWARRY ROAD,WPARA0063,,,,55,376610.09999999998,5784015.2999999998,MGA94,-38.083199999999998,145.59299999999999,GDA94,,0,,N,N,1,2007-01-01,,228
228286,DIAMOND CREEK AT ELLIS ROAD,WPDIA0074,,,,55,389562,5792003.7000000002,MGA94,-38.012900000000002,145.74199999999999,GDA94,,0,,N,N,1,2007-01-01,,228
228386,BALCOMBE CREEK AT NEPEAN HIGHWAY MOUNT MARTHA,BALCOMBE-MT MARTHA,,,,55,328271.5,5763052.5,MGA94,-38.264200000000002,145.03700000000001,GDA94,,4.3700000000000001,,N,N,1,,,228
228388,EUMMEMERING CREEK AT WORSLEY ROAD BANGHOLME,EUMM'NG-BANGHOLM,,,,55,340284.5,5788105.4000000004,MGA94,-38.040700000000001,145.18000000000001,GDA94,,7.0800000000000001,,N,N,1,,,228
228398,FERNY CREEK UPSTREAM MONBULK CREEK KNOXFIELD,DAFER0021,,,,55,346314.20000000001,5803473.5,MGA94,-37.903300000000002,145.25200000000001,GDA94,,0,,N,N,1,2007-01-01,,228
228604,CROYDON MAIN DRAIN AT BANGALOOK ROAD WALKWAY WEST-EAST,DACRO0028,,,,55,346773.09999999998,5811114,MGA94,-37.834499999999998,145.25899999999999,GDA94,,0,,N,N,1,2007-01-01,,228
229146,STRINGYBARK CREEK AT YARRA GLEN ROAD COLDSTREAM,S'BARK @ COLDSTREAM,,,,55,357400,5826800,MGA94,-37.694899999999997,145.38300000000001,GDA94,,0,,N,N,1,1973-10-18,,229
229289,LITTLE YARRA RIVER AT CORDUROY ROAD,LITTLE YARRA,,,,55,377072,5817984,MGA94,-37.777200000000001,145.60400000000001,GDA94,,0,,N,N,1,1998-01-01,,229
229295,BRUCES CREEK AT BEECH STREET,YABRC0076,,,,55,334074.59999999998,5846764.7999999998,MGA94,-37.511200000000002,145.12299999999999,GDA94,,0,,N,N,1,2007-01-01,,229
229296,CORANDERRK CREEK AT HEALESVILLE-KOO WEE RUP ROAD,YACOR0033,,,,55,369407.59999999998,5827662,MGA94,-37.689,145.51900000000001,GDA94,,0,,N,N,1,2007-01-01,,229
229297,EDGARS CREEK AT MURRAY ROAD,YAEDG0039,,,,55,321674.09999999998,5821800.0999999996,MGA94,-37.733699999999999,144.976,GDA94,,0,,N,N,1,2007-01-01,,229
229298,MCMAHONS CREEK AT WOODS POINT ROAD,YAMCM0059,,,,55,396958.29999999999,5826674.5999999996,MGA94,-37.7014,145.83099999999999,GDA94,,0,,N,N,1,2007-01-01,,229
229299,NEW CHUM CREEK AT ROAD 11 OFF MYERS CREEK ROAD,YANEW0050,,,,55,369351.09999999998,5833771.9000000004,MGA94,-37.633899999999997,145.51900000000001,GDA94,,0,,N,N,1,2007-01-01,,229
229416,OLINDA CREEK UPSTREAM HULL ROAD,YAOLI0037,,,,55,355701,5817544.2000000002,MGA94,-37.778100000000002,145.36099999999999,GDA94,,0,,N,N,1,2007-01-01,,229
229417,SCOTCHMAN CREEK AT GOLFERS DRIVE,YASCO0018,,,,55,331022.79999999999,5806195,MGA94,-37.876100000000001,145.07900000000001,GDA94,,0,,N,N,1,2007-01-01,,229
229418,STARVATION CREEK UPSTREAM WOODS POINT ROAD,YASTA0047,,,,55,394258.09999999998,5825112.2999999998,MGA94,-37.7151,145.80000000000001,GDA94,,0,,N,N,1,2007-01-01,,229
229419,YARRA RIVER AT SPADONIS RESERVE COLDSTREAM,YAYAR2151,,,,55,354512,5828284,MGA94,-37.681100000000001,145.34999999999999,GDA94,,0,,N,N,1,1994-01-01,,229
229420,YARRA RIVER AT PRINCES BRIDGE,YAYAR3884,,,,55,321168,5812297,MGA94,-37.819200000000002,144.96799999999999,GDA94,,0,,N,N,1,1994-01-01,,229
229421,O'SHANNASSY RIVER UPSTREAM CONFLUENCE WITH YARRA,YAOSH0127,,,,55,392907.29999999999,5825898.5,MGA94,-37.707900000000002,145.785,GDA94,,0,,N,N,1,2007-01-01,,229
229601,DIAMOND CREEK AT MAIN ROAD ELTHAM,DIAMOND @ ELTHAM,,,,55,336300,5822300,MGA94,-37.731999999999999,145.142,GDA94,,0,,N,N,1,1973-05-23,,229
229671,WOORI YALLOCK CREEK UPSTREAM WARBURTON HIGHWAY,WYC-WARBURTON HWY,,,,55,368700,5817900,MGA94,-37.776800000000001,145.50899999999999,GDA94,,0,,N,N,1,1989-08-31,,229
229677,SHEPHERD CREEK D/S HEALESVILLE KOOWEERUP RD NANGANA,SHEPHERD CK-NANGANA,,,,55,370788.70000000001,5807980.0999999996,MGA94,-37.866500000000002,145.53100000000001,GDA94,,0,,N,N,1,1993-05-20,,229
230200,MARIBYRNONG RIVER @ KEILOR,MARIBYRNONG @ KEILOR,10.625,AHD,1303,55,309336,5822178,UTM,-37.727706089999998,144.8364761,WGS84,9,29,9,Y,N,1,1907-05-20,,230
230202,JACKSON CREEK @ SUNBURY,JACKSON CK @ SUNBURY,182.08000000000001,AHD,337,55,300626,5838015,UTM,-37.58321737,144.74203564000001,WGS84,9,0,1,Y,N,1,1908-02-01,,230
230204,RIDDELLS CREEK @ RIDDELLS CREEK,RIDDELLS @ RIDELLS,357.21300000000002,AHD,79,55,294125,5851007,UTM,-37.464778760000002,144.67210539999999,WGS84,9,0,1,Y,N,1,1933-09-14,,230
230205,DEEP CREEK @ BULLA (D/S OF EMU CREEK JUNCT.),DEEP @ BULLA,82.825999999999993,AHD,865,55,305956,5832795,UTM,-37.631371999999999,144.80097369999999,WGS84,9,99,9,Y,Y,1,1955-06-21,,230
230206,JACKSON CREEK @ GISBORNE,JACKSON @ GISBORNE,418.77199999999999,AHD,96,55,285340,5849609,UTM,-37.475370480000002,144.57244320000001,WGS84,9,433,1,Y,N,1,1960-05-09,,230
230209,BARRINGO CREEK @ BARRINGO (U/S OF DIVERSION),BARRINGO CREEK,0,ARB,6,55,289900,5856928,UTM,-37.410503869999999,144.6260551,WGS84,9,0,1,Y,Y,1,1966-06-16,,230
230210,SALTWATER CREEK @ BULLENGAROOK,SALTWATER @ BULLEN.,463.54000000000002,AHD,39,55,281073,5849889,UTM,-37.471848020000003,144.52431240000001,WGS84,9,469,9,Y,N,1,1968-05-08,,230
230213,TURRITABLE CREEK @ MOUNT MACEDON,TURRITABLE @ MACEDON,457.89800000000002,AHD,15,55,286273,5855903,UTM,-37.41890497,144.5848096,WGS84,9,0,1,Y,N,1,1970-08-24,,230
230217,GARDEN HUT CREEK @ U/S OF LANCEFIELD RESERVIOR,GARDEN @ US LANCE.,,,,55,290800,5867700,AMG66,-37.313693170000001,144.6392591,AGD66,,0,,y,N,1,1977-07-20,,230
230218,BOLINDA CREEK @ MOUNT ELIZA,BOLINDA @ MT. ELIZA,,,,55,295016.29999999999,5861182.4000000004,AMG66,-37.373333330000001,144.685,AGD66,1,0,,y,N,1,1991-11-12,,230
230220,JACKSON CREEK @ CLARKFIELD,JACKSON CK CLARKF'LD,,,,55,300131.40000000002,5848280.9000000004,MGA94,-37.490780000000001,144.73921999999999,GDA94,9,0,,y,N,1,2004-02-18,,230
230227,MAIN CREEK @ KERRIE,MAIN CK @ KERRIE,,,,55,292900,5858600,AMG66,-37.396121059999999,144.6603949,AGD66,,0,,Y,N,1,1989-12-04,,230
230231,WILLIMIGONGON CK @ MT MACEDON-ANZAC RD,WILLIMIGONGON CK,,,,55,286986.40000000002,5858152.5,MGA94,-37.398940000000003,144.59350000000001,GDA94,1,0,,Y,N,1,1992-03-23,,230
230232,DEEP CREEK @ BOLINDA,DEEP CK @ BOLINDA,0,ARB,315,55,306826,5855493,UTM,-37.427114150000001,144.8167961,WGS84,9,0,1,Y,Y,1,1993-02-24,,230
230233,JACKSON CREEK @ GISBORNE TREATMENT PLANT,JACKSON CK TREAT.PL.,,,,55,289235.5,5848322.7999999998,MGA94,-37.487980559999997,144.6160806,GDA94,,0,,y,N,1,1993-03-24,,230
230239,STONEY CREEK U/S ORD HILL RESERVOIR,STONEY C ORD HILL RE,,,,55,287666.40000000002,5859697.7999999998,MGA94,-37.385179999999998,144.60162,GDA94,,0,,y,N,1,2002-04-30,,230
230240,JACKSON CREEK @ SALESIAN COLLEGE SUNBURY,JACKSON CK SALESIAN,,,,55,300140,5839340,ANG,-37.571178420000003,144.7368969,AGD66,,0,,y,N,1,2004-02-13,,230
230242,JACKSONS CREEK @ U/S RIDDLES CREEK RWP OUTFALL,JACKSONS CK U/S RWP,,,,55,297808.75199999998,5849062.2560000001,MGA94,-37.483237000000003,144.71318199999999,GDA94,,0,,N,N,1,2018-06-23,,230
230243,BOLINDA CREEK PDR FLOW @ BOLINDA CREEK OFFTAKE,BOLINDA CK PDR FLOW,,,,55,293497.75199999998,5861432.1960000005,MGA94,-37.370876260000003,144.6679206,GDA94,,0,,N,N,1,,,230
230244,TAYLORS CREEK AT WALKWAY DOWNSTREAM GREEN GULLY ROAD,MATAY0018,,,,55,308412,5822246.5,MGA94,-37.726999999999997,144.82599999999999,GDA94,,0,,N,N,1,2007-01-01,,230
230245,JACKSONS CREEK UPSTREAM SUNBURY-RIDDELLS ROAD,MAJAC0152,,,,55,295177.29999999999,5847962.5999999996,MGA94,-37.492600000000003,144.68299999999999,GDA94,,0,,N,N,1,2007-01-01,,230
230704,BOLINDA CREEK OFFTAKE @ BOLINDA CREEK,BOLINDA CK OFFTAKE,,,,55,293497,5861417.7999999998,UTM,-37.370876260000003,144.6679206,GDA94,,0,,Y,N,1,2012-01-17,,230
230706,MAIN CREEK OFFTAKE @ FORSTER RESERVOIR,MAIN CK OFFTAKE,,,,55,293810,5855778,UTM,-37.421739760000001,144.66987990000001,GDA94,,0,,Y,N,1,2012-06-20,,230
230707,PIPELINE INFLOW @ LANCEFIELD BASIN,INFLOW TO LANCEFIELD,,,,55,295703.29999999999,5871309.2000000002,UTM,-37.282277120000003,144.69554199999999,GDA94,,0,,Y,N,1,2011-12-21,,230
231102,CHERRY DRAIN PIPELINE AT ALTONA,YAMOO0083,,,,55,0,0,MGA94,0,0,GDA94,,0,,N,N,1,1966-05-30,1986-08-15 00:00:00.000,231
231200,WERRIBEE RIVER @ BACCHUS MARSH,WERRIBEE @ BACCHUS,99.043999999999997,,363,55,273214,5826449,UTM,-37.681017269999998,144.4282675,WGS84,9,119,9,Y,Y,1,1887-04-01,,231
231203,PYKES CREEK @ PYKES CREEK RESERVOIR,PYKES @ PYKES,363.74599999999998,AHD,125,55,261151,5833506,UTM,-37.614419580000003,144.29391860000001,WGS84,9,0,1,Y,N,1,1908-11-23,,231
231204,WERRIBEE RIVER @ WERRIBEE DIVERSION WEIR,WERRIBEE @ DIV. WEIR,0,ARB,1424,55,292934,5804924,UTM,-37.879526339999998,144.6455655,WGS84,9,31,9,Y,Y,1,1911-02-01,,231
231205,WERRIBEE RIVER @ MELTON RESERVOIR (TAIL GAUGE),WERRIBEE @ MELTON,56.744999999999997,AHD,1155,55,286131,5819552,UTM,-37.746228739999999,144.57259440000001,WGS84,9,77,9,Y,N,1,1917-01-01,,231
231208,WERRIBEE RIVER @ COBBLEDICK FORD,WERRIBEE RIVER,0,ARB,1356,55,287115,5811348,UTM,-37.820336480000002,144.5813459,WGS84,9,0,1,Y,Y,1,1930-03-06,,231
231211,LERDERDERG RIVER @ U/S GOODMAN CREEK JUNCTION,LERDERDERG @ GOODMAN,119.145,AHD,234,55,272973,5832020,UTM,-37.630721299999998,144.42720420000001,WGS84,9,134,9,Y,N,1,1956-05-31,,231
231213,LERDERDERG RIVER @ SARDINE CREEK O'BRIEN CROSSING,LERDERDERG @ SARDINE,424.73700000000002,AHD,153,55,266709,5846786,UTM,-37.496273979999998,144.36104979999999,WGS84,9,0,1,Y,Y,1,1959-04-15,,231
231214,PYRITES CREEK @ BACCHUS MARSH,PYRITES @ BACCHUS M.,,,,55,278800,5826600,AMG66,-37.681021559999998,144.4916016,AGD66,1,0,1,N,N,1,1960-05-10,,231
231221,WERRIBEE RIVER @ MELTON RESERVOIR (HEAD GAUGE),WERRIBEE @ MELTON,,,,55,285838.08500000002,5819713.0460000001,AMG66,-37.744709999999998,144.56932,WGS84,1,0,1,N,N,1,1916-07-26,,231
231222,PYKES CREEK @ PYKES CREEK RESERVOIR (H.GAUGE),PYKES @ PYKES RESERV,,,,55,261232.29999999999,5833999.2000000002,AMG66,-37.609999999999999,144.29499999999999,AGD66,1,0,1,N,N,1,1911-10-01,,231
231223,PYRITES CREEK @ MERRIMU RESERVOIR (HEAD GAUGE),PYRITES @ MERRIMU,,,,55,278664.09999999998,5831892.2999999998,AMG66,-37.633333329999999,144.4916667,AGD66,1,0,1,N,N,1,1969-09-26,,231
231225,WERRIBEE RIVER @ BALLAN (U/S OLD WESTERN HWY),WERRIBEE @ BALLAN,471.95100000000002,AHD,71,55,257155,5835013,UTM,-37.599805439999997,144.2491928,WGS84,9,0,1,N,N,1,1973-05-15,,231
231231,TOOLERN CREEK @ MELTON SOUTH,TOOLERN @ MELTON,87.031000000000006,AHD,95,55,286628,5821625,UTM,-37.727676959999997,144.57883910000001,WGS84,9,0,1,N,Y,1,1979-05-03,,231
231234,PARWAN CREEK @ PARWAN,PARWAN CK @ PARWAN,0,ARB,159,55,272182,5821729,UTM,-37.723261090000001,144.41509919999999,WGS84,9,0,1,N,Y,1,1994-03-21,,231
231236,LONG GULLY CREEK @ BLACKWOOD,LONG GULLY BLACKWOOD,,,,55,261304.068,5851132.3310000002,ANG,-37.455759999999998,144.30137999999999,WGS84,1,0,1,y,N,1,2002-12-18,,231
232200,LITTLE RIVER @ LITTLE RIVER,LITTLE @ LITTLE,24.475000000000001,AHD,417,55,279102,5796193,UTM,-37.954893550000001,144.48574780000001,WGS84,9,0,1,Y,Y,1,1887-05-16,,232
232201,MOORABOOL RIVER EAST BRANCH @ BOLWARRAH WEIR,MOORABOOL R E BRANCH,0,GAU,0,55,250620,5839216,UTM,-37.560219830000001,144.17667969999999,WGS84,9,0,1,Y,N,1,1908-08-11,,232
232202,MOORABOOL RIVER @ BATESFORD,MOORABOOL @ BATESFOR,17.109999999999999,AHD,1088,55,261303,5780762,UTM,-38.089311520000003,144.27822492000001,WGS84,9,29,9,Y,Y,1,1908-01-01,,232
232204,MOORABOOL RIVER @ MORRISONS,MOORABOOL @ MORRISON,297.50099999999998,AHD,575,55,245135,5816426,UTM,-37.763872360000001,144.10669540000001,WGS84,9,0,1,Y,Y,1,1906-05-20,,232
232209,MOORABOOL RIVER @ SHEOAKS,MOORABOOL R SHEOAKS,0,,0,55,247126,5801699,UTM,-37.896993960000003,144.12412639999999,WGS84,9,0,0,Y,N,1,1967-01-09,,232
232210,MOORABOOL RIVER WEST BRANCH @ LAL LAL,MOORABOOL @ LAL LAL,0,ARB,83,55,239028,5829646,UTM,-37.64315379,144.04218750000001,WGS84,9,488,9,Y,Y,1,1967-03-22,,232
232211,MOORABOOL RIVER WEST BRANCH @ MOUNT DORAN,MOORABOOL @ DORAN,0,ARB,292,55,243845,5822217,UTM,-37.711383519999998,144.09410829999999,WGS84,9,0,1,Y,N,1,1970-06-26,,232
232213,LAL LAL CREEK @ U/S OF BUNGAL DAM,LAL LAL @ BUNGAL DAM,,,,55,238334.39999999999,5828343.5,MGA94,-37.654680560000003,144.03386939999999,GDA94,9,470,9,y,N,1,1977-06-06,,232
232214,BLACK CREEK @ U/S OF BUNGAL DAM,BLACK @ BUNGAL DAM,,,,55,240761.878,5831181.8109999998,AMG66,-37.629820000000002,144.06236000000001,WGS84,1,0,1,N,N,1,1977-06-06,,232
232215,WOOLLEN CREEK @ U/S OF BUNGAL DAM,WOOLLEN @ BUNGAL DAM,,,,55,242400,5830800,AMG66,-37.633717500000003,144.0807662,AGD66,1,0,1,N,N,1,1977-06-06,,232
232217,MOORABOOL R WEST BRANCH @ MOORABOOL RESERVOIR HG,MOORABOOL WB RES HG,,,,55,242346.89999999999,5843944.2999999998,MGA94,-37.515510059999997,144.08476959999999,GDA94,9,0,1,N,N,1,2009-07-15,,232
232219,LAL LAL CREEK @ BEALES RESERVOIR,LAL LAL C BEALES RES,,,,55,237294,5840891,ANG,-37.541439869999998,144.0265923,GDA94,1,595,1,N,N,1,2007-12-20,,232
232220,LAL LAL CREEK @ WILSON RESERVOIR H.G.,LAL LAL C WILSON RES,,,,55,236428,5843881,ANG,-37.514278709999999,144.01787529999999,GDA94,1,618,1,N,N,1,2007-12-18,,232
232221,MOORABOOL RIVER EAST BRANCH @ BOSTOC RESERVOIR,BOSTOCK RES. H.G.,0,,0,55,251646,5834163,UTM,-37.60598718,144.1865698,WGS84,9,0,1,Y,N,1,2001-05-30,,232
232222,WEST MOORABOOL RIVER @ LAL LAL RES. H.G.,LAL LAL RES. H.G.,,,,55,241982,5826002,UTM,-37.67679004,144.07433929999999,WGS84,9,0,1,N,N,1,2007-12-07,,232
232223,FRAWLEY CREEK @ U/S WILSON RESERVOIR,FRAWLEY CK WILSON RS,,,,55,235899.48800000001,5844902.8080000002,AMG66,-37.504930000000002,144.01227,WGS84,1,0,1,N,N,1,1995-06-20,,232
232224,SLATER CREEK @ U/S WILSON RESERVOIR,SLATER CK WILSON RES,0,ARB,0,55,236987.40599999999,5844840.6560000004,,-37.505800000000001,144.02454,WGS84,1,0,1,Y,N,1,1995-06-22,,232
232225,MAHARS CREEK @ U/S WILSON RESERVOIR,MAHARS CK @ U/S WILS,0,ARB,0,55,236563.53899999999,5845201.6169999996,,-37.502429999999997,144.01988,WGS84,1,0,1,y,N,1,1995-09-28,,232
232227,MOORABOOL RIVER @ SHEOAKS DIVERSION WEIR,MOORABOOL R SHEOAKS,0,GAU,0,55,247482,5801917,UTM,-37.89513041,144.1282468,WGS84,9,0,0,Y,N,1,2000-07-25,,232
232228,STONEY CREEK @ UPPER STONEY RESERVOIR SPILLWAY,UPPER STONEY RES,0,AHD,0,55,254341,5810501,UTM,-37.819730819999997,144.20908159999999,WGS84,9,0,0,Y,N,1,2000-07-25,,232
232230,EAST MOORABOOL RIVER @ KORWEINGUBOORA RES H.G.,KORWEINGUBOORA RES.,0,,0,55,248130,5844919,UTM,-37.508201880000001,144.15047709999999,WGS84,9,0,0,Y,N,1,1983-01-01,,232
232231,EAST MOORABOOL RIVER @ KORWEINGUBOORA RES P.D.R.,KORWEINGUBOORA PDR,0,,0,55,248292,5844868,UTM,-37.508705190000001,144.1522903,WGS84,9,0,0,Y,N,1,2000-07-25,,232
232232,EAST MOORABOOL RIVER @ BOSTOCK RES (COMPENSATION WEIR),BOSTOCK RES COMPWEIR,0,GAU,0,55,251802,5834033,UTM,-37.607199620000003,144.18829099999999,WGS84,9,0,0,Y,N,1,2000-07-25,,232
232233,PADDOCK CREEK U/S BOSTOCK RES,PADDOCK C U/S BOSTOC,0,,0,55,249486,5835467,UTM,-37.593662379999998,144.16257429999999,WGS84,9,0,1,Y,N,1,2000-08-04,,232
232234,EAST MOORABOOL R U/S BOSTOCK RES,E MOORABOOL R BOSTOC,0,,0,55,250574,5835489,UTM,-37.593759839999997,144.17489119999999,WGS84,9,0,1,Y,N,1,2000-08-04,,232
232235,DEVIL CREEK U/S MOORABOOL RESERVOIR,DEVIL CK U/S M'BOOL,,,,55,241056.22099999999,5844911.7680000002,AMG66,-37.506309999999999,144.07053999999999,WGS84,1,0,1,N,N,1,2001-05-09,,232
232236,WEST MOORABOOL RIVER U/S MOORABOOL RESERVOIR,WEST MOORABOOL R,,,,55,241400,5846000,AMG66,-37.496610250000003,144.07480709999999,AGD66,1,0,1,N,N,1,2001-05-09,,232
232237,BOLWARRA RES. H.G.,BOLWARRA RES HG,0,GAU,0,55,250636,5839391,UTM,-37.55864871,144.17692020000001,WGS84,9,0,0,Y,N,1,2002-05-23,,232
232238,STONEY CREEK @ UPPER STONEY CK RES NO 2 H.G.,U.STONEY CK RES HG 2,0,AHD,0,55,253186,5810138,UTM,-37.822687129999998,144.19585040000001,WGS84,9,0,0,Y,N,1,2003-11-19,,232
232239,STONEY CREEK @ UPPER STONEY CK RES NO 3 H.G.,U.STONEY CK RES HG 3,0,AHD,0,55,253352,5810042,UTM,-37.823596219999999,144.19770159999999,WGS84,9,0,0,Y,N,1,2003-11-19,,232
232242,MOORABOOL R @ COOPERS CROSSING MEREDITH,MOORABOOL R MEREDITH,,,,55,247681.12299999999,5805612.4689999996,ANG,-37.861919999999998,144.1318,WGS84,1,0,1,N,N,1,2007-02-02,,232
232243,WHISKY CREEK @ WHISKY CREEK DIVERSION WEIR,WHISKY CK DIV. WEIR,,,,55,241549.29999999999,5841454.5,UTM,-37.537569910000002,144.07489580000001,GDA94,,604,,N,N,1,2011-11-22,,232
232704,NO 2 INFLOW CHANNEL @ UPPER STONEY CREEK RES,NO 2 I/FLOW CH STONY,0,GAU,0,55,252678,5811074,UTM,-37.81412349,144.19040480000001,WGS84,9,0,0,Y,N,1,2000-07-25,,232
232705,BOSTOCK CHANNEL @ EGERTON ROAD,BOSTOCK CH EGERTON R,0,,0,55,250751,5831280,UTM,-37.631699259999998,144.1754598,WGS84,9,0,0,Y,N,1,2000-07-25,,232
232706,KORWEINGUBOORA OUTLET CHANNEL @ KORWEINGUBOORA RES,KORWEINGUBOORA O/LET,0,GAU,0,55,248208,5844901,UTM,-37.508385199999999,144.15135230000001,WGS84,9,0,0,Y,N,1,2000-07-25,,232
232708,BALLAN CHANNEL D/S BOSTOCK CHANNEL JUNCTION,BALLAN CH D/S BOSTOC,0,,0,55,253490,5826734,UTM,-37.673364079999999,144.2049299,WGS84,9,0,0,Y,N,1,2001-06-08,,232
232709,BALLAN CHANNAL @ 26.1 KM GAUGE,BALLAN CH @ 26.1KM,0,,0,55,251498,5818828,UTM,-37.743999649999999,144.1796703,WGS84,9,0,1,Y,N,1,2000-08-04,,232
